roomNumber,roomType,floor,status,categoryId,ratePlanId,customRate,maxOccupancy,description,amenities
101,Standard,1,available,,15000,2,Standard room with double bed,"["bed","tv","ac","wifi"]"
102,Standard,1,available,,15000,2,Standard room with double bed,"["bed","tv","ac","wifi"]"
103,Standard,1,available,,15000,2,Standard room with double bed,"["bed","tv","ac","wifi"]"
104,Standard,1,available,,15000,2,Standard room with double bed,"["bed","tv","ac","wifi"]"
105,Standard,1,available,,15000,2,Standard room with double bed,"["bed","tv","ac","wifi"]"
106,Standard,1,available,,15000,2,Standard room with double bed,"["bed","tv","ac","wifi"]"
107,Standard,1,available,,15000,2,Standard room with double bed,"["bed","tv","ac","wifi"]"
108,Standard,1,available,,15000,2,Standard room with double bed,"["bed","tv","ac","wifi"]"
109,Standard,1,available,,15000,2,Standard room with double bed,"["bed","tv","ac","wifi"]"
110,Standard,1,available,,15000,2,Standard room with double bed,"["bed","tv","ac","wifi"]"
201,Standard,2,available,,16000,2,Standard room with double bed,"["bed","tv","ac","wifi","minibar"]"
202,Standard,2,available,,16000,2,Standard room with double bed,"["bed","tv","ac","wifi","minibar"]"
203,Standard,2,available,,16000,2,Standard room with double bed,"["bed","tv","ac","wifi","minibar"]"
204,Standard,2,available,,16000,2,Standard room with double bed,"["bed","tv","ac","wifi","minibar"]"
205,Standard,2,available,,16000,2,Standard room with double bed,"["bed","tv","ac","wifi","minibar"]"
206,Standard,2,available,,16000,2,Standard room with double bed,"["bed","tv","ac","wifi","minibar"]"
207,Standard,2,available,,16000,2,Standard room with double bed,"["bed","tv","ac","wifi","minibar"]"
208,Standard,2,available,,16000,2,Standard room with double bed,"["bed","tv","ac","wifi","minibar"]"
209,Standard,2,available,,16000,2,Standard room with double bed,"["bed","tv","ac","wifi","minibar"]"
210,Standard,2,available,,16000,2,Standard room with double bed,"["bed","tv","ac","wifi","minibar"]"
301,Deluxe,3,available,,20000,2,Deluxe room with king bed,"["bed","tv","ac","wifi","minibar","safe"]"
302,Deluxe,3,available,,20000,2,Deluxe room with king bed,"["bed","tv","ac","wifi","minibar","safe"]"
303,Deluxe,3,available,,20000,2,Deluxe room with king bed,"["bed","tv","ac","wifi","minibar","safe"]"
304,Deluxe,3,available,,20000,2,Deluxe room with king bed,"["bed","tv","ac","wifi","minibar","safe"]"
305,Deluxe,3,available,,20000,2,Deluxe room with king bed,"["bed","tv","ac","wifi","minibar","safe"]"
306,Deluxe,3,available,,20000,2,Deluxe room with king bed,"["bed","tv","ac","wifi","minibar","safe"]"
307,Deluxe,3,available,,20000,2,Deluxe room with king bed,"["bed","tv","ac","wifi","minibar","safe"]"
308,Deluxe,3,available,,20000,2,Deluxe room with king bed,"["bed","tv","ac","wifi","minibar","safe"]"
309,Deluxe,3,available,,20000,2,Deluxe room with king bed,"["bed","tv","ac","wifi","minibar","safe"]"
310,Deluxe,3,available,,20000,2,Deluxe room with king bed,"["bed","tv","ac","wifi","minibar","safe"]"
401,Suite,4,available,,35000,4,Suite with separate living area,"["bed","tv","ac","wifi","minibar","safe","sofa","desk"]"
402,Suite,4,available,,35000,4,Suite with separate living area,"["bed","tv","ac","wifi","minibar","safe","sofa","desk"]"
403,Suite,4,available,,35000,4,Suite with separate living area,"["bed","tv","ac","wifi","minibar","safe","sofa","desk"]"
404,Suite,4,available,,35000,4,Suite with separate living area,"["bed","tv","ac","wifi","minibar","safe","sofa","desk"]"
405,Suite,4,available,,35000,4,Suite with separate living area,"["bed","tv","ac","wifi","minibar","safe","sofa","desk"]"
